,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate
7.0,-1.2993625999999998,1.3097118,8.689057,-0.048043199999999994,-0.029015399999999997,0.01795920000000002,0.41107740000000004,0.1217104,-0.13537520000000006,52.350602,4.925637,4.166489,2.0,219.399994,3.790092,2.760893,1,0,0,0,0,0
7.5,-0.9550353999999999,-1.3523637999999998,11.904053200000002,0.082831,-0.06835379999999999,0.05256339999999997,-0.14136300000000004,-0.29985860000000003,-0.06487440000000007,,,,,,,,1,0,0,0,0,0
8.0,-0.6159124000000002,-0.7606185999999998,11.81181,-0.049662,0.010659199999999999,0.0338102,0.43838166666666667,-0.2612776666666667,0.10636766666666668,52.350584999999995,4.9256150000000005,3.549144,2.09,219.5,3.790092,2.728485,1,0,0,0,0,0
8.5,-0.7010371999999998,3.7828732,2.6532215999999997,0.0232734,0.10976939999999999,-0.037902999999999985,0.9648537999999999,-3.8343704,5.7633704,,,,,,,,1,0,0,0,0,0
9.0,1.9607388000000003,-3.1615764000000004,15.5798474,-0.056656250000000005,-0.104875,-0.14545799999999995,-2.2143812,1.1896233999999994,-2.6651608000000007,52.350564,4.925590000000001,3.424465,3.11,223.600006,3.790092,2.5,1,0,0,0,0,0
9.5,-0.1880159999999999,-0.41539420000000005,12.0233952,0.055129,-0.026113799999999993,-0.061512199999999996,0.05592459999999999,-3.1951464,4.8734582,,,,,,,,1,0,0,0,0,0
10.0,0.021176599999999858,-0.13232319999999986,8.7524066,0.0225708,-0.08072340000000001,0.24549959999999998,-0.33172480000000004,-0.30042939999999996,0.09026020000000004,52.350542,4.92556,3.3604519999999996,2.73,226.0,3.790092,2.532803,1,0,0,0,0,0
10.5,3.1519456000000003,0.4473384000000002,5.9761942,-0.055801,0.06325339999999999,-0.0297176,0.5786952,-0.2991536,-0.4967752,,,,,,,,1,0,0,0,0,0
11.0,0.7330412,-1.351227,10.944531399999999,0.07368349999999999,0.025731999999999994,-0.038444999999999986,0.574483,-0.364265,-0.76632,52.350524,4.925535,3.403747,2.22,226.100006,3.790092,2.5536659999999998,1,0,0,0,0,0
11.5,-0.24855460000000001,-1.442872,11.031032000000002,-0.03524580000000001,-0.027793400000000003,0.053296199999999995,0.574483,-0.364265,-0.76632,,,,,,,,1,0,0,0,0,0
12.0,-0.6199806000000001,-3.0690939999999998,12.802976999999998,0.0010384000000000003,0.0171648,-0.0448668,0.267898,-0.279725,-0.2728285999999999,52.350504,4.925505,2.618057,3.21,225.600006,3.790092,2.5,0,1,0,0,0,0
12.5,0.34576299999999993,-2.1801606,9.6262656,-0.03457400000000001,-0.0006412000000000008,-0.039583000000000014,0.47054740000000006,-0.5439322,-0.09199959999999999,,,,,,,,0,1,0,0,0,0
13.0,-0.33666999999999997,-1.7349758000000002,11.1746014,0.017218500000000005,-0.03955249999999999,0.0786085,-0.9168900000000001,-1.1931559999999999,-0.329382,52.350484,4.925475,2.566986,2.34,224.69999700000002,3.790092,2.5,0,1,0,0,0,0
13.5,-1.8436698,-2.8659432000000002,7.7800834,-0.0198832,0.052136,0.028649000000000008,-0.9168900000000001,-1.1931559999999999,-0.329382,,,,,,,,0,1,0,0,0,0
14.0,-0.4043271999999999,-0.0034097999999999963,9.444709799999998,0.0459052,0.0791048,-0.004520200000000002,-0.3177182,-0.5097065999999998,-0.23142259999999998,52.350474,4.925458,2.673407,0.9,226.5,3.790092,2.5,0,0,1,0,0,0
14.5,-0.7082756,0.31052859999999993,9.537791,-0.003787199999999999,-0.0309396,0.0746454,-0.11527920000000005,0.488514,0.028919,,,,,,,,0,0,1,0,0,0
15.0,-0.37100720000000004,0.08285139999999999,9.978728799999999,-0.0036955999999999994,0.004825600000000001,-0.023151200000000004,0.125724,0.24988000000000002,0.328702,52.350471999999996,4.925455,3.525515,0.0,,3.790092,2.5,0,0,1,0,0,0
15.5,-1.2628122,0.41252279999999997,9.3643712,0.002939749999999999,-0.006185000000000001,0.0038177500000000017,0.125724,0.24988000000000002,0.328702,,,,,,,,0,0,1,0,0,0
16.0,-0.1355534,0.1658822,9.9727464,0.0027183999999999997,-0.0398274,0.00788,0.1531062,0.22855620000000001,0.2788306,52.350471999999996,4.925455,3.9689970000000003,0.0,,3.790092,2.5,0,0,1,0,0,0
16.5,-0.055633,0.20530400000000001,9.8537632,0.0014661999999999998,-0.0081548,0.0010994000000000004,0.036793400000000004,0.0770084,0.058803799999999996,,,,,,,,0,0,1,0,0,0
17.0,0.062392799999999984,0.19758720000000002,9.765288400000001,0.010201199999999999,0.0165232,0.014629800000000004,0.0175118,-0.1643238,0.0935176,52.350474,4.925453,4.21442,0.0,,3.790092,2.5,0,0,1,0,0,0
17.5,0.41174479999999997,1.1383852,10.148798199999998,0.0012217500000000006,-0.0436755,0.16519599999999998,0.07947,-0.388675,0.178053,,,,,,,,0,0,1,0,0,0
18.0,-0.2616552,1.401895,9.530971599999999,0.0240676,-0.0010386000000000006,-0.12482659999999997,0.07947,-0.388675,0.178053,52.350473,4.92545,4.925477,0.0,,3.790092,2.5,0,0,1,0,0,0
18.5,1.3625329999999998,1.3161124,11.060404,-0.0067804000000000015,-0.0687508,0.3522758,-0.9729488,0.4556314,-0.2438822,,,,,,,,0,0,1,0,0,0
19.0,0.5441876,0.34444700000000006,11.2520688,-0.017623000000000007,0.07241600000000001,-0.172595,-0.1382343999999999,0.39016439999999997,0.31304760000000004,52.35047,4.925446,4.8211010000000005,0.41,226.80000299999998,3.790092,2.5,1,0,0,0,0,0
19.5,0.1044465999999999,0.032602200000000095,9.3322476,0.0404305,0.016034750000000004,-0.25075274999999997,-1.384447,0.426731,0.13053,,,,,,,,1,0,0,0,0,0
20.0,-0.6006583999999998,0.9249457999999999,8.888558200000002,0.019302800000000002,-0.0229678,-0.15200940000000002,-1.384447,0.426731,0.13053,52.350460999999996,4.925432,4.767795,1.89,224.80000299999998,3.790092,2.5,1,0,0,0,0,0
20.5,0.5027919999999999,-0.9473185999999997,11.762697399999999,0.0065056000000000055,-0.11648859999999998,0.37933619999999996,-0.9388360000000002,-0.13428899999999996,0.20201679999999994,,,,,,,,1,0,0,0,0,0
21.0,-0.3759724000000001,1.6934004000000002,6.861777600000001,0.08802299999999999,0.1317902,-0.1834986,0.11247120000000002,-0.6836377999999999,-0.05030160000000008,52.350448,4.925412000000001,4.16486,1.61,224.69999700000002,3.790092,2.5,1,0,0,0,0,0
21.5,-0.0632902,-0.6504886,10.343394800000002,-0.13973125,-0.20684825,0.5084157499999999,-1.8710556,-1.2641028,0.34493939999999995,,,,,,,,1,0,0,0,0,0
22.0,0.07549359999999998,1.2919446,7.5363744,0.0485932,0.025197400000000002,0.11416739999999996,-2.377587,-1.3512790000000001,0.17083099999999998,52.350433,4.925391,4.00052,2.15,220.100006,3.790092,2.5,1,0,0,0,0,0
22.5,2.2899314000000004,0.5709873999999999,11.440444,-0.052899400000000006,0.03316899999999999,0.11456439999999998,-2.0427832,-0.6082016000000001,-0.1664666,,,,,,,,1,0,0,0,0,0
23.0,-0.4448854000000001,-0.3884747999999999,10.623594,-0.0003969999999999986,0.1879882,-0.0860988,0.4621452,-0.23672560000000004,0.22196059999999998,52.350415000000005,4.925371,3.721431,2.42,216.0,3.790092,2.5,1,0,0,0,0,0
23.5,-0.9677174,-1.2669994000000002,11.326725200000002,0.024495,0.021013399999999995,-0.3793972,0.5679148000000002,-0.5121508,0.7050254,,,,,,,,1,0,0,0,0,0
24.0,0.2361716000000002,0.8882754000000002,9.0081998,-0.018860000000000002,-0.13087425,0.21673625000000002,0.162968,-0.881517,1.4088100000000001,52.350396,4.925356,3.608541,2.27,208.899994,3.790092,2.5,1,0,0,0,0,0
24.5,-0.31393839999999995,2.0522044,7.0063042,0.015637400000000006,0.08170079999999999,-0.1211004,0.349499,-0.5578988,1.056308,,,,,,,,1,0,0,0,0,0
25.0,0.08321039999999998,2.1769304000000003,8.202895,0.0415374,0.122017,-0.33312559999999997,0.7829042,-0.4934664000000001,0.10666119999999994,52.350376000000004,4.925341,3.3608839999999995,2.66,206.699997,3.790092,2.5,1,0,0,0,0,0
25.5,-0.07196419999999995,0.9418747999999999,9.0193264,0.013835599999999995,-0.1944936,0.03695620000000001,-0.32125139999999996,-0.3413594,0.2339328,,,,,,,,1,0,0,0,0,0
26.0,-0.08985040000000001,-0.5192422000000001,11.021401200000001,0.014278499999999998,-0.020768750000000002,0.030122249999999996,0.21973199999999998,-0.202019,0.8216559999999999,52.35035,4.9253160000000005,3.802606,3.6,214.0,3.790092,2.5,1,0,0,0,0,0
26.5,1.4927026,0.2164308,10.6704936,0.004550799999999998,0.10482140000000002,-0.09025259999999999,0.21973199999999998,-0.202019,0.8216559999999999,,,,,,,,1,0,0,0,0,0
27.0,-0.8666802,0.27571299999999993,9.883195,-0.027457600000000006,-0.0726294,-0.093032,-0.13016139999999995,-0.2872826,0.14071399999999998,52.350326,4.9252839999999996,3.696717,3.27,221.80000299999998,3.790092,2.5,1,0,0,0,0,0
27.5,-0.06957100000000002,-0.32727839999999997,9.513085,0.015088,-0.05167759999999999,-0.043033999999999996,0.1555554,-0.22294300000000003,0.005664800000000003,,,,,,,,1,0,0,0,0,0
28.0,0.5612368,-0.21625119999999995,10.453165000000002,-0.0063528000000000005,-0.0377502,0.1619968,-1.205732,0.363224,-1.289701,52.350307,4.92525,3.6248940000000003,2.89,228.19999700000002,3.790092,2.5,1,0,0,0,0,0
28.5,0.12197399999999989,0.7004388,10.3807824,0.027831499999999995,0.133928,-0.2848075,-1.205732,0.363224,-1.289701,,,,,,,,1,0,0,0,0,0
29.0,-0.5312664,-0.13244259999999994,10.050034400000001,0.006780400000000001,-0.1425718,0.1432436,-1.240073,-0.03212780000000002,-0.6927146000000001,52.350288,4.925212,3.211271,3.51,229.100006,3.790092,2.5,1,0,0,0,0,0
29.5,0.0943970000000001,0.6534800000000001,8.7925466,0.001038600000000002,0.0907414,-0.049325999999999995,0.05370200000000003,-0.2894672,0.06579339999999997,,,,,,,,1,0,0,0,0,0
30.0,-0.08991039999999997,-0.12251239999999988,9.726225600000001,-0.0029016,0.016890000000000006,-0.05903860000000001,1.1457084,0.1256974,-0.46259459999999997,52.350266999999995,4.925173,3.282019,3.4,229.399994,3.790092,2.5,1,0,0,0,0,0
30.5,1.0520044,0.16624119999999998,11.550693599999999,0.03905575,0.14091475,-0.144198,1.28583,0.089225,-0.58587,,,,,,,,1,0,0,0,0,0
31.0,-0.2795414,0.9879966,8.255058600000002,0.0060472,0.1433658,-0.2747894,1.28583,0.089225,-0.58587,52.350246999999996,4.925133,3.376695,3.34,229.100006,3.790092,2.5,0,0,0,1,0,0
31.5,-1.7421544,0.35144600000000004,9.168997399999999,0.0542738,0.12797240000000001,-0.4736814,1.5832226,-0.0855248,0.4227912,,,,,,,,0,0,0,1,0,0
32.0,-1.5424732,-2.0123040000000003,12.164512199999999,0.1581178,0.127209,-0.7397054000000001,1.8706234,-0.1975826,0.46368279999999995,52.350232,4.925088,3.2946769999999996,3.59,239.30000299999998,3.790092,2.5,0,0,0,1,0,0
32.5,-2.164667,-3.8614178000000003,14.340544600000001,0.1912335,-0.011377250000000002,-0.5431195,1.743255,-0.339634,0.6148859999999999,,,,,,,,0,0,0,1,0,0
33.0,-1.4178072,-0.3533002000000002,10.3613408,0.2062834,-9.160000000000834e-05,-0.8674948,1.7390162000000005,-0.18673580000000004,0.0015895999999999452,52.350227000000004,4.925033999999999,3.699425,3.86,263.399994,3.790092,2.5,0,0,0,1,0,0
33.5,-2.273301,-1.5123238,9.5859466,0.10708140000000002,-0.35453579999999996,-0.005283600000000005,-0.11510959999999996,0.13871239999999982,0.1456398,,,,,,,,0,0,0,1,0,0
34.0,1.271845,2.8057043999999998,9.049116999999999,-0.0065359999999999975,-0.08945860000000001,0.14819179999999998,-1.2456022,-1.8420898,1.0496206,52.350235,4.924982,3.860906,3.11,285.0,3.790092,2.5,1,0,0,0,0,0
34.5,-2.6639296000000003,-2.8698918,10.845468799999999,0.04049919999999999,-0.0343296,-0.12180279999999999,0.18328680000000003,-1.0034174,1.1905109999999997,,,,,,,,1,0,0,0,0,0
35.0,0.12460619999999993,1.6575678,9.2292364,0.011338749999999995,-0.13740249999999998,0.09956799999999999,-0.461531,-0.9213863999999999,0.458165,52.350255,4.924939,2.964181,3.24,304.799988,3.790092,2.5,1,0,0,0,0,0
35.5,0.830489,-2.9336604,14.684752600000001,-0.015423799999999991,0.0071774000000000004,0.14669480000000001,-0.8977219999999999,-1.2717889999999998,1.319264,,,,,,,,1,0,0,0,0,0
36.0,1.4940783999999998,-0.9093326000000003,11.435539,0.017409200000000003,0.0886032,-0.0033292000000000044,-0.8977219999999999,-1.2717889999999998,1.319264,52.350279,4.924903,2.6050020000000003,2.98,312.0,3.790092,2.6689119999999997,1,0,0,0,0,0
36.5,-1.1063813999999998,-0.48233300000000057,11.3842728,-0.05326580000000001,-0.08796200000000001,0.1612636,-0.8302992,-0.6267037999999999,-0.15777600000000006,,,,,,,,1,0,0,0,0,0
37.0,0.6160919999999999,-0.5340181999999999,10.3151592,0.01355325,0.19772374999999998,-0.18512499999999998,0.12570719999999994,-0.28017559999999997,-0.2378176,52.350305999999996,4.924867,1.914711,3.4,317.100006,3.790092,2.825718,1,0,0,0,0,0
37.5,0.1688136,0.49698919999999996,8.7631146,0.025502799999999992,-0.0521968,-0.12067280000000002,-0.143849,0.316594,-0.8730319999999999,,,,,,,,1,0,0,0,0,0
38.0,1.4220542,-1.6029518000000003,11.687981599999999,-0.009468199999999993,-0.0412322,-0.02852660000000002,0.009634600000000004,1.3211392,-1.3564193999999998,52.350333,4.924828,1.818232,3.53,316.399994,4.02,3.1094630000000003,1,0,0,0,0,0
38.5,-0.964367,1.135573600000001,10.9402848,0.027304799999999997,0.022142999999999996,0.14467939999999999,-1.0511215999999999,-0.3427135999999999,-1.4325144,,,,,,,,1,0,0,0,0,0
39.0,1.2894326,2.901656,5.7416374,-0.03164950000000001,-0.037147000000000006,-0.000840249999999999,-0.7244945999999999,0.9709150000000001,-2.6503254,52.350358,4.9247879999999995,1.064215,3.24,314.0,3.790092,3.039259,1,0,0,0,0,0
39.5,1.2836893999999999,0.14584220000000006,9.0949992,0.021563000000000002,0.0011300000000000025,0.0314282,-0.8775042000000001,-0.36619,-1.5683951999999999,,,,,,,,1,0,0,0,0,0
40.0,-0.31393819999999995,1.1769698000000002,9.6894958,-0.00552800000000001,0.0693922,-0.1202148,0.1926314000000001,-0.6425662,0.07227380000000001,52.35038,4.924747,1.209303,3.31,313.899994,3.790092,3.072779,1,0,0,0,0,0
40.5,-0.6348756,3.7395629999999995,4.5607202000000004,-0.021440999999999995,-0.028678999999999993,0.038910799999999995,0.36984500000000003,-1.2557202,1.1407892,,,,,,,,1,0,0,0,0,0
41.0,-0.7056431999999999,2.1968503999999998,6.871409,0.0847856,-0.01695100000000001,-0.0368342,0.387855,-1.540578,1.8120369999999997,52.350401,4.924708,1.090964,3.15,315.0,3.927251,3.238699,1,0,0,0,0,0
41.5,-2.3665616,-0.9401400000000001,10.341360599999998,-0.025999000000000005,0.05150199999999999,-0.16779199999999997,-0.10410159999999999,-1.43555,1.3929247999999999,,,,,,,,1,0,0,0,0,0
42.0,0.24095739999999993,-2.4361926,13.319527799999998,-0.0346656,-0.0344518,0.021837600000000006,-0.3098054,-0.3769004,-0.15238899999999994,52.350421999999995,4.9246739999999996,0.7584529999999999,3.03,318.700012,4.1476180000000005,3.343386,1,0,0,0,0,0
42.5,-2.0729022,1.0714462,8.223473199999999,-0.014415999999999995,0.025838999999999994,-0.0383,-0.5993166000000001,-1.3433055999999999,-0.05163100000000004,,,,,,,,1,0,0,0,0,0
43.0,-1.3143774000000001,-3.3390644000000003,13.430195399999999,-0.006689000000000006,-0.0252586,-0.017959000000000006,-1.091308,-1.8197599999999998,0.317895,52.350442,4.9246419999999995,0.491313,2.92,320.600006,4.383055000000001,3.558097,1,0,0,0,0,0
43.5,0.09242279999999994,0.6029909999999997,9.533304399999999,0.007101250000000003,-0.13259225,0.1867665,-1.091308,-1.8197599999999998,0.317895,,,,,,,,1,0,0,0,0,0
44.0,0.5648256,-1.3508082000000003,10.4409026,-0.027488200000000008,0.06575779999999999,0.0014660000000000007,-0.31157959999999996,-0.17679780000000003,0.0805488,52.350463,4.924605000000001,0.970508,3.37,318.399994,4.469079,3.6327580000000004,1,0,0,0,0,0
44.5,-0.9317652000000001,0.03529439999999997,9.5888182,0.06820100000000001,0.04584400000000001,-0.012675200000000001,-0.13572639999999997,0.1384644000000001,-0.18518160000000003,,,,,,,,1,0,0,0,0,0
45.0,-0.5921038000000001,-0.10965099999999992,8.7327856,0.0020768000000000036,-0.0758062,0.07803579999999999,-0.11535100000000001,1.3021690000000001,-1.118247,52.350485,4.924562,1.2494459999999998,3.45,315.299988,4.2659519999999995,3.6756290000000003,1,0,0,0,0,0
45.5,-0.702473,-0.6606583999999998,10.2840522,0.012560250000000002,0.08620575,-0.0719275,-0.11535100000000001,1.3021690000000001,-1.118247,,,,,,,,1,0,0,0,0,0
46.0,-1.5677173999999998,0.9435500000000001,7.6785078,-0.0640168,0.014446599999999999,-0.09520039999999999,-0.04387500000000001,0.25544200000000006,-0.14402800000000002,52.350507,4.924519999999999,1.671572,3.38,315.299988,4.334064,3.784335,1,0,0,0,0,0
46.5,-0.3224925999999999,0.9126823999999998,7.659724199999999,-0.0025044000000000177,-0.04358379999999999,0.004581399999999994,0.41761019999999993,-0.17457000000000003,0.08193960000000003,,,,,,,,1,0,0,0,0,0
47.0,0.11736779999999988,-0.33499540000000005,10.936575399999999,0.0503034,0.023212199999999995,0.08738180000000002,-1.78605,-1.5338379999999998,-0.46383100000000005,52.350532,4.92448,1.045547,3.57,319.200012,4.294533,3.9017769999999996,1,0,0,0,0,0
47.5,-0.059162600000000065,-1.1682356,11.145707999999999,0.019028,-0.0024433999999999984,-0.029106999999999994,-1.78605,-1.5338379999999998,-0.46383100000000005,,,,,,,,1,0,0,0,0,0
48.0,-0.3853041999999999,1.1715857999999997,8.453902199999998,-0.07146899999999999,-0.009658999999999994,-0.015653,-0.5550602000000001,-1.265177,-0.11255700000000006,52.350558,4.924442,0.397857,3.51,321.700012,4.451719000000001,4.099393,1,0,0,0,0,0
48.5,0.7876576,1.8994824000000006,6.6184878,0.045813599999999996,0.0120946,-0.0502422,0.11931040000000001,0.10107299999999997,-0.2025992,,,,,,,,1,0,0,0,0,0
49.0,-0.6333204,1.2369698000000002,7.1550782,-0.0018326000000000009,-0.05317420000000002,0.20243480000000003,-1.0369704,-0.8118402,0.5559185999999998,52.350582,4.924405999999999,0.48374700000000004,3.26,320.299988,4.605299,4.300673000000001,1,0,0,0,0,0
49.5,-0.5655435999999998,-0.39409799999999995,11.6619594,-0.055098400000000006,0.0998736,-0.12455179999999999,-1.180754,-1.277034,1.2546329999999999,,,,,,,,1,0,0,0,0,0
50.0,-2.5264616,1.5040686,7.335437199999999,0.09086375,-0.09533025,-0.011262500000000022,-1.1225558000000002,-1.1299266,0.8816733999999998,52.350606,4.924367,-0.11408099999999999,3.57,315.799988,4.358887999999999,4.16715,1,0,0,0,0,0
50.5,-0.6465409999999998,0.5130212000000001,7.850552,-0.0347572,0.0029319999999999984,0.07941019999999999,-0.021628,-0.05967060000000002,0.2844742,,,,,,,,1,0,0,0,0,0
51.0,-0.3412164000000001,0.3600004000000003,8.4638326,0.018905800000000007,-0.0015270000000000047,-0.06630739999999999,-0.539389,0.7435596,-1.0144794000000001,52.350629,4.924328,-0.764768,3.02,314.100006,4.470244,4.269352,1,0,0,0,0,0
51.5,1.3224532,0.5758325999999998,8.956335200000002,-0.0163402,-0.009743,0.05079199999999999,-0.863325,1.224104,-1.316497,,,,,,,,1,0,0,0,0,0
52.0,1.1533406000000002,-0.8194221999999997,11.636655399999999,0.03443650000000001,0.04100325,-0.009086499999999997,-0.863325,1.224104,-1.316497,52.350653,4.924288,-1.433029,3.68,315.799988,4.9277239999999995,4.474705,1,0,0,0,0,0
52.5,-0.17174479999999998,-0.09002999999999992,10.054042599999999,-0.000488799999999999,-0.0239454,0.029137600000000007,-0.39898600000000006,0.11669020000000004,-0.25093020000000005,,,,,,,,1,0,0,0,0,0
53.0,0.8718845999999999,-1.5394223999999999,13.5726284,0.013469199999999995,0.05790860000000001,-0.0497538,-0.03285019999999998,0.017988599999999976,0.0022732000000000195,52.350679,4.924247,-0.43063599999999996,3.54,316.600006,4.88658,4.644866,1,0,0,0,0,0
53.5,-1.0769496000000003,0.8230114000000001,7.0904124,-0.10714260000000002,-0.00021380000000000287,-0.07195779999999999,-0.16605999999999999,2.812612,-1.6597630000000003,,,,,,,,1,0,0,0,0,0
54.0,0.36113660000000003,-0.3646662000000004,8.582696,0.11157139999999999,-0.0481652,-0.042148399999999996,-0.16605999999999999,2.812612,-1.6597630000000003,52.350705,4.924208,0.197856,3.47,317.700012,5.504563,4.901819000000001,1,0,0,0,0,0
54.5,1.1176278,-3.0686155999999998,14.701023799999998,-0.04527924999999999,-0.0695985,0.231778,-0.5402698,1.3077924000000003,-0.7456646000000001,,,,,,,,1,0,0,0,0,0
55.0,0.6679565999999999,4.8286562,1.9881964000000003,0.0389416,0.01924159999999999,-0.1182598,0.060740000000000016,-0.26043459999999996,0.16668219999999997,52.35073,4.924168,0.632746,3.79,315.600006,5.032032,4.848496,1,0,0,0,0,0
55.5,0.5708080000000002,-0.14853419999999992,8.580243,-0.017989599999999994,0.1062876,0.02055500000000001,0.5711071999999999,0.5137808,-0.8500555999999999,,,,,,,,1,0,0,0,0,0
56.0,0.003409999999999913,-1.3505090000000002,11.5752196,-0.010720400000000001,-0.022081999999999997,-0.12378819999999999,1.951022,1.136148,-2.147642,52.350755,4.924126,0.696477,3.6,315.799988,4.9411510000000005,4.823076,1,0,0,0,0,0
56.5,0.13579299999999997,-0.4394418,12.054262399999999,0.04081225000000001,-0.13679175,0.149314,1.951022,1.136148,-2.147642,,,,,,,,1,0,0,0,0,0
57.0,-0.41198420000000013,3.0098718,6.409295,-0.061206800000000006,0.0565036,-0.11847379999999999,0.5030648,-0.27678079999999994,-0.04249759999999993,52.350778999999996,4.924086,0.825151,3.78,315.299988,4.8104309999999995,4.731463,1,0,0,0,0,0
57.5,-0.9738789999999999,3.4803007999999998,2.7325437999999993,0.0903138,-0.0671014,0.1280338,-0.7149631999999999,-0.30854980000000004,0.20816799999999996,,,,,,,,1,0,0,0,0,0
58.0,0.8975477999999999,2.1598216,6.696673199999999,-0.0202498,0.0398578,0.09413160000000001,0.17599,-1.6030830000000003,2.252023,52.350804,4.924045,1.1775790000000002,3.8,314.700012,4.468732,4.414255000000001,1,0,0,0,0,0
58.5,1.2542578,0.6732802000000001,10.005767,0.089489,0.16179825000000003,-0.15660600000000002,0.17599,-1.6030830000000003,2.252023,,,,,,,,1,0,0,0,0,0
59.0,-0.319741,-1.5242879999999999,10.5790876,-0.0390942,-0.1458092,0.005375400000000002,-0.33726540000000005,-0.5946490000000001,0.7615011999999999,52.350827,4.924003,1.3674680000000001,3.61,314.600006,4.644188,4.411955,1,0,0,0,0,0
59.5,-0.9643673999999999,-2.324986,12.7057684,0.0404994,0.059893600000000005,0.0780358,0.13599160000000002,-0.020866400000000018,0.15806939999999997,,,,,,,,1,0,0,0,0,0
60.0,-1.2633504,-0.8503494,13.336397,-0.022051599999999998,0.0306344,-0.13811259999999997,-0.215706,-0.5563819999999999,-0.125716,52.350852,4.923962,1.4005610000000002,3.95,314.0,4.292101000000001,4.27875,1,0,0,0,0,0
60.5,1.261556,2.6564520000000003,5.7205808,-0.0031457999999999985,-0.0565952,0.07937979999999999,-0.215706,-0.5563819999999999,-0.125716,,,,,,,,1,0,0,0,0,0
61.0,0.6505487999999999,-1.5317056000000002,12.903834600000001,-0.04993675,0.08704550000000001,-0.14160199999999998,-0.07813459999999997,-0.44211779999999995,-0.2678896,52.350877000000004,4.923921,1.23767,3.65,315.100006,4.006835,3.960543,1,0,0,0,0,0
